ID,Month,Year,Enrollment,Victims_Killed,Victims_Injured,Day_of_Week,During_Class,Time_Period,City,State,Density,School_Level,Location,Location_Type,Students_Killed,Staff_Killed,Students_Injured,Staff_Injured,Situation,Drive_By_,Gang_,Active_Shooter_,Preplanned_,Perpetrator_Race,Perpetrator_Affiliation,Perpetrator_Outcome,Accomplice_,Leakage,Legacy_Token,Prior_Police_Contact,Other_Weapons,Mental_Health_Concerns,Suicidal,Psychiatric_Medication,Prior_Hospitalization,Substance_Use,Trauma_History,Suspended__Expelled,School_Violence,Studied_Other_Shooters,Interest_in_Violence,Warning_Signs,Current_Stressors
4,4,2001,672,1,0,Wednesday,No,Night,Cleveland,OH,Urban,High,Parking Lot,Outside on School Property,No evidence of,Yes,No evidence of,No evidence of,Unknown,Unknown,Unknown,No evidence of,Unknown,Unknown,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
58,11,2008,4461,1,0,Monday,No,Sport Event,Bell,CA,Urban,High,Gym,Inside School Building,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
71,10,2010,2422,1,0,Friday,No,Before School,Salinas,CA,Urban,High,Beside Building,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Unknown,No,Yes,No evidence of,No evidence of,Unknown,Unknown,Escaped,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
N55,4,2017,611,1,0,Wednesday,No,Before School,Philadelphia,PA,Urban,High,Outside on School Property,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,No,No evidence of,No evidence of,No evidence of,Unknown,None,Escaped,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
126,6,2018,2124,1,0,Sunday,No,Night,Portland,OR,Urban,High,Football Field/Track,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Unknown,No evidence of,Unknown,Unknown,Unknown,Escaped,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
138,10,2018,2292,1,1,Saturday,No,Evening,Nashville,TN,Urban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,No,Unknown,No evidence of,Unknown,Black,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
149,8,2019,954,1,0,Friday,No,Night,St. Louis,MO,Urban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Unknown,No evidence of,Unknown,Unknown,Unknown,Escaped,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
181,2,2021,954,2,0,Sunday,No,Night,Minneapolis,MN,Urban,High,Front of School,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Unknown,No evidence of,Unknown,Unknown,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
197,7,2021,413,1,0,Sunday,No,Night,Rochester,NY,Urban,High,Parking Lot,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Unknown,No,Yes,No evidence of,Unknown,Unknown,Unknown,Escaped,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
234,9,2022,139,1,5,Wednesday,Yes,Afternoon Classes,Oakland,CA,Urban,High,Inside School Building,Inside School Building,No evidence of,Yes,Yes,Yes,Unknown,No,Yes,No evidence of,Unknown,Unknown,Unknown,Escaped,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
243,12,2022,561,1,0,Friday,No,Night,Philadelphia,PA,Urban,High,Beside Building,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Unknown,No evidence of,Unknown,Unknown,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
246,1,2023,1980,1,0,Tuesday,No,Dismissal,Cleveland,OH,Urban,High,Front of School,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Unknown,No evidence of,Unknown,Unknown,Unknown,Escaped,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
249,3,2023,643,1,0,Tuesday,No,Sport Event,Indianapolis,IN,Urban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Unknown,No evidence of,Unknown,Unknown,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
252,4,2023,1573,1,0,Monday,No,Morning Classes,Los Angles,CA,Urban,High,Front of School,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Unknown,No evidence of,Unknown,Unknown,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
73,1,2011,2602,1,1,Wednesday,Yes,Lunch,Omaha,NE,Urban,High,Office,Inside School Building,No evidence of,Yes,No evidence of,Yes,Unknown,No,No evidence of,Yes,Yes,Black,Student,Suicide,No evidence of,Yes,No evidence of,Yes,No evidence of,No evidence of,Yes,No evidence of,No evidence of,Yes,No evidence of,Yes,No evidence of,No evidence of,No evidence of,Yes,Yes
N67,4,2022,1773,1,0,Monday,Yes,Lunch,Stockton,CA,Urban,High,Beside Building,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Unknown,N/A,No evidence of,N/A,No evidence of,Black,None,Apprehended,No evidence of,No evidence of,No evidence of,Yes,No evidence of,Yes,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
N74,11,2023,736,1,0,Thursday,No,After School,Redford Charter Township,MI,Urban,High,Classroom,Inside School Building,No evidence of,Yes,No evidence of,No evidence of,Unknown,No,No evidence of,No evidence of,Yes,Middle Eastern,Staff,Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
46,10,2006,1265,1,0,Tuesday,No,Night,Knoxville,TN,Urban,High,Parking Lot,Outside on School Property,No evidence of,Yes,No evidence of,No evidence of,Unknown,No,No evidence of,No evidence of,Yes,White,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
56,8,2008,1139,1,0,Thursday,Yes,Morning Classes,Knoxville,TN,Urban,High,Cafeteria,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Unknown,No,No evidence of,No evidence of,No evidence of,Other,Student,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
86,6,2013,1380,2,0,Wednesday,No,Not a School Day,West Palm Beach,FL,Urban,High,Office,Inside School Building,No evidence of,Yes,No evidence of,No evidence of,Unknown,No,No evidence of,No evidence of,No evidence of,Latino,Staff,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,Yes,Yes,No evidence of
148,7,2019,616,1,0,Thursday,No,Not a School Day,Hartford,CT,Urban,High,Beside Building,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,No,No evidence of,No evidence of,No evidence of,Black,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
192,4,2021,233,1,0,Thursday,No,Dismissal,Brooklyn,NY,Urban,High,Front of School,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Unknown,No,Yes,No evidence of,Unknown,Unknown,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,Yes,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
220,4,2022,2176,1,0,Sunday,No,Night,Lynn,MA,Urban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,No,Unknown,No evidence of,Unknown,Unknown,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
223,4,2022,779,1,0,Tuesday,No,Night,Macon,GA,Urban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Yes,No evidence of,Unknown,Black,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
242,12,2022,840,1,0,Saturday,No,Sport Event,Milwaukee,WI,Urban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,No,Unknown,No evidence of,Yes,Black,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
257,5,2023,1146,1,0,Wednesday,No,School Event,Banning,CA,Urban,High,Front of School,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,No,Unknown,No evidence of,Unknown,Black,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
22,5,2004,2514,1,0,Monday,No,Before School,Salt Lake City,UT,Urban,High,Parking Lot,Outside on School Property,No evidence of,Yes,No evidence of,No evidence of,Domestic,No,No evidence of,No evidence of,No evidence of,Unknown,Family Member,Suicide,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,Yes,Yes
107,2,2016,2119,1,0,Friday,No,Before School,Glendale,AZ,Urban,High,Courtyard,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Domestic,No,No evidence of,No evidence of,Yes,White,Student,Suicide,No evidence of,Yes,Yes,No evidence of,No evidence of,Yes,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,Yes
260,7,2023,763,1,1,Saturday,No,Not a School Day,Birmingham,AL,Urban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,Unknown,Domestic,No,No evidence of,No evidence of,Unknown,Black,None,Suicide,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
N12,3,2003,1302,1,0,Friday,Yes,Afternoon Classes,Austin,TX,Urban,High,Hallway,Inside School Building,Yes,No evidence of,No evidence of,No evidence of,Domestic,No,No evidence of,No evidence of,Yes,Black,Student,Apprehended,No evidence of,Yes,No evidence of,No evidence of,No evidence of,Yes,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,Yes,Yes,Yes
75,3,2011,935,1,5,Wednesday,No,Sport Event,Houston,TX,Urban,High,Football Field/Track,Outside on School Property,Yes,No evidence of,Unknown,No evidence of,Retaliation,No,Yes,No evidence of,No evidence of,Unknown,Unknown,Escaped,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
9,12,2002,781,1,1,Monday,No,After School,Chicago,IL,Urban,High,Beside Building,Outside on School Property,Yes,No evidence of,Yes,No evidence of,Retaliation,No,No evidence of,Yes,No evidence of,Unknown,Student,Apprehended,Yes,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
1,1,2001,2400,1,0,Wednesday,No,Before School,Baltimore,MD,Urban,High,Front of School,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Retaliation,No,No evidence of,No evidence of,Yes,Unknown,Unknown,Fled & Later Apprehended,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
10,3,2003,861,1,1,Sunday,No,Not a School Day,Watsonville,CA,Urban,High,Beside Building,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Retaliation,No,Yes,No evidence of,Yes,Latino,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,N/A,No evidence of,No evidence of,Yes,No evidence of,No evidence of
11,4,2003,1458,1,3,Monday,Yes,Morning Classes,New Orleans,LA,Urban,High,Gym,Inside School Building,Yes,No evidence of,Yes,No evidence of,Retaliation,No,Yes,No evidence of,Yes,Unknown,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,Yes,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes
25,1,2005,1050,1,0,Saturday,No,Dismissal,North Philadelphia,PA,Urban,High,Front of School,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Retaliation,No,Yes,No evidence of,No evidence of,Black,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
26,3,2005,1191,1,1,Wednesday,No,Dismissal,Pittsburgh,PA,Urban,High,Parking Lot,Outside on School Property,Yes,No evidence of,Yes,No evidence of,Retaliation,Yes,Yes,No evidence of,Yes,Black,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,Yes,No evidence of
30,7,2005,396,1,1,Monday,Yes,Afternoon Classes,Newark,NJ,Urban,High,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Retaliation,No,Yes,No evidence of,No evidence of,Black,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,Yes
